Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2016,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2017,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2018,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2019,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2020,Forest area as a proportion of total land area [15.1.1],,,,Percent,3
2015,Forest area (hectares) [15.1.1],,,,Hectares,421800
2016,Forest area (hectares) [15.1.1],,,,Hectares,421800
2017,Forest area (hectares) [15.1.1],,,,Hectares,421800
2018,Forest area (hectares) [15.1.1],,,,Hectares,421800
2019,Forest area (hectares) [15.1.1],,,,Hectares,421800
2020,Forest area (hectares) [15.1.1],,,,Hectares,421800
