Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2015,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,Percent,9.9
2017,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,Percent,5.6
2015,Proportion of children moderately or severely wasted [2.2.2],,Male,under 5 years old,Percent,9.9
2017,Proportion of children moderately or severely wasted [2.2.2],,Male,under 5 years old,Percent,6.1
2015,Proportion of children moderately or severely wasted [2.2.2],,Female,under 5 years old,Percent,10.0
2017,Proportion of children moderately or severely wasted [2.2.2],,Female,under 5 years old,Percent,5.0
2015,Proportion of children moderately or severely overweight [2.2.2],,,under 5 years old,Percent,0.9
2017,Proportion of children moderately or severely overweight [2.2.2],,,under 5 years old,Percent,3.3
2015,Proportion of children moderately or severely overweight [2.2.2],,Male,under 5 years old,Percent,1.0
2017,Proportion of children moderately or severely overweight [2.2.2],,Male,under 5 years old,Percent,3.5
2015,Proportion of children moderately or severely overweight [2.2.2],,Female,under 5 years old,Percent,0.9
2017,Proportion of children moderately or severely overweight [2.2.2],,Female,under 5 years old,Percent,3.2
