Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Death rate due to road traffic injuries [3.6.1],,,,"Per 100,000 population",5.3
2016,Death rate due to road traffic injuries [3.6.1],,,,"Per 100,000 population",4.9
2017,Death rate due to road traffic injuries [3.6.1],,,,"Per 100,000 population",4.9
2018,Death rate due to road traffic injuries [3.6.1],,,,"Per 100,000 population",4.4
2019,Death rate due to road traffic injuries [3.6.1],,,,"Per 100,000 population",4.2
2015,Number of deaths rate due to road traffic injuries [3.6.1],,,,Number,449.0
2016,Number of deaths rate due to road traffic injuries [3.6.1],,,,Number,427.0
2017,Number of deaths rate due to road traffic injuries [3.6.1],,,,Number,433.0
2018,Number of deaths rate due to road traffic injuries [3.6.1],,,,Number,395.0
2019,Number of deaths rate due to road traffic injuries [3.6.1],,,,Number,391.0
