Year,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,19.0
2016,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,20.6
2017,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,20.6
2018,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,20.6
2019,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,20.6
2020,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,23.8
2015,Number of seats held by women in national parliaments [5.5.1],,Female,Number,12.0
2016,Number of seats held by women in national parliaments [5.5.1],,Female,Number,13.0
2017,Number of seats held by women in national parliaments [5.5.1],,Female,Number,13.0
2018,Number of seats held by women in national parliaments [5.5.1],,Female,Number,13.0
2019,Number of seats held by women in national parliaments [5.5.1],,Female,Number,13.0
2020,Number of seats held by women in national parliaments [5.5.1],,Female,Number,15.0
2015,Number of seats in national parliaments [5.5.1],,,Number,63.0
2016,Number of seats in national parliaments [5.5.1],,,Number,63.0
2017,Number of seats in national parliaments [5.5.1],,,Number,63.0
2018,Number of seats in national parliaments [5.5.1],,,Number,63.0
2019,Number of seats in national parliaments [5.5.1],,,Number,63.0
2020,Number of seats in national parliaments [5.5.1],,,Number,63.0
