Year,SERIES,Reference area,Sex,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Average hourly earnings [8.5.1],,,,,Local currency,6.1
2016,Average hourly earnings [8.5.1],,,,,Local currency,7.0
2017,Average hourly earnings [8.5.1],,,,,Local currency,7.4
2018,Average hourly earnings [8.5.1],,,,,Local currency,8.8
2019,Average hourly earnings [8.5.1],,,,,Local currency,8.5
2015,Average hourly earnings [8.5.1],,Female,,,Local currency,4.5
2016,Average hourly earnings [8.5.1],,Female,,,Local currency,5.4
2017,Average hourly earnings [8.5.1],,Female,,,Local currency,5.4
2018,Average hourly earnings [8.5.1],,Female,,,Local currency,6.4
2019,Average hourly earnings [8.5.1],,Female,,,Local currency,6.5
2015,Average hourly earnings [8.5.1],,Male,,,Local currency,7.4
2016,Average hourly earnings [8.5.1],,Male,,,Local currency,8.4
2017,Average hourly earnings [8.5.1],,Male,,,Local currency,9.0
2018,Average hourly earnings [8.5.1],,Male,,,Local currency,10.7
2019,Average hourly earnings [8.5.1],,Male,,,Local currency,10.1
