Year,SERIES,Reference area,Degree of urbanisation,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,31.0
2016,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,30.3
2017,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,29.5
2018,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,27.4
2019,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,26.3
2015,Proportion of population living below the national poverty line [1.2.1],,Rural,,,Percent,23.2
2016,Proportion of population living below the national poverty line [1.2.1],,Rural,,,Percent,24.3
2017,Proportion of population living below the national poverty line [1.2.1],,Rural,,,Percent,21.6
2018,Proportion of population living below the national poverty line [1.2.1],,Rural,,,Percent,30.2
2019,Proportion of population living below the national poverty line [1.2.1],,Rural,,,Percent,30.1
2015,Proportion of population living below the national poverty line [1.2.1],,Urban,,,Percent,35.2
2016,Proportion of population living below the national poverty line [1.2.1],,Urban,,,Percent,34.4
2017,Proportion of population living below the national poverty line [1.2.1],,Urban,,,Percent,33.3
2018,Proportion of population living below the national poverty line [1.2.1],,Urban,,,Percent,21.5
2019,Proportion of population living below the national poverty line [1.2.1],,Urban,,,Percent,18.4
