Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SG_GEN_PARL,tj,F,PT,19.0
2016,SG_GEN_PARL,tj,F,PT,20.6
2017,SG_GEN_PARL,tj,F,PT,20.6
2018,SG_GEN_PARL,tj,F,PT,20.6
2019,SG_GEN_PARL,tj,F,PT,20.6
2015,SG_GEN_PARLN,tj,F,NUMBER,12.0
2016,SG_GEN_PARLN,tj,F,NUMBER,13.0
2017,SG_GEN_PARLN,tj,F,NUMBER,13.0
2018,SG_GEN_PARLN,tj,F,NUMBER,13.0
2019,SG_GEN_PARLN,tj,F,NUMBER,13.0
2015,SG_GEN_PARLNT,tj,,NUMBER,63.0
2016,SG_GEN_PARLNT,tj,,NUMBER,63.0
2017,SG_GEN_PARLNT,tj,,NUMBER,63.0
2018,SG_GEN_PARLNT,tj,,NUMBER,63.0
2019,SG_GEN_PARLNT,tj,,NUMBER,63.0
