Year,SERIES,REF_AREA,SEX,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SG_GEN_PARL,,F,,,PT,19.0
2016,SG_GEN_PARL,,F,,,PT,20.6
2017,SG_GEN_PARL,,F,,,PT,20.6
2018,SG_GEN_PARL,,F,,,PT,20.6
2019,SG_GEN_PARL,,F,,,PT,20.6
2020,SG_GEN_PARL,,F,,,PT,23.8
2015,SG_GEN_PARLN,,F,,,NUMBER,12.0
2016,SG_GEN_PARLN,,F,,,NUMBER,13.0
2017,SG_GEN_PARLN,,F,,,NUMBER,13.0
2018,SG_GEN_PARLN,,F,,,NUMBER,13.0
2019,SG_GEN_PARLN,,F,,,NUMBER,13.0
2020,SG_GEN_PARLN,,F,,,NUMBER,15.0
2015,SG_GEN_PARLNT,,,,,NUMBER,63.0
2016,SG_GEN_PARLNT,,,,,NUMBER,63.0
2017,SG_GEN_PARLNT,,,,,NUMBER,63.0
2018,SG_GEN_PARLNT,,,,,NUMBER,63.0
2019,SG_GEN_PARLNT,,,,,NUMBER,63.0
2020,SG_GEN_PARLNT,,,,,NUMBER,63.0
