Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_DYN_MORT,tj,,Y0T4,PER_1000_LIVE_BIRTHS,43
2017,SH_DYN_MORT,tj,,Y0T4,PER_1000_LIVE_BIRTHS,33
2015,SH_DYN_MORT,tj,M,Y0T4,PER_1000_LIVE_BIRTHS,51
2017,SH_DYN_MORT,tj,M,Y0T4,PER_1000_LIVE_BIRTHS,40
2015,SH_DYN_MORT,tj,F,Y0T4,PER_1000_LIVE_BIRTHS,46
2017,SH_DYN_MORT,tj,F,Y0T4,PER_1000_LIVE_BIRTHS,26
2015,SH_DYN_IMRT,tj,,Y0,PER_1000_LIVE_BIRTHS,34
2017,SH_DYN_IMRT,tj,,Y0,PER_1000_LIVE_BIRTHS,27
2015,SH_DYN_IMRT,tj,M,Y0,PER_1000_LIVE_BIRTHS,41
2017,SH_DYN_IMRT,tj,M,Y0,PER_1000_LIVE_BIRTHS,33
2015,SH_DYN_IMRT,tj,F,Y0,PER_1000_LIVE_BIRTHS,36
2017,SH_DYN_IMRT,tj,F,Y0,PER_1000_LIVE_BIRTHS,21
