Year,SERIES,REF_AREA,SEX,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SL_EMP_EARN,,,,,CUR_LCU,6.1
2016,SL_EMP_EARN,,,,,CUR_LCU,7.0
2017,SL_EMP_EARN,,,,,CUR_LCU,7.4
2018,SL_EMP_EARN,,,,,CUR_LCU,8.8
2019,SL_EMP_EARN,,,,,CUR_LCU,8.5
2015,SL_EMP_EARN,,F,,,CUR_LCU,4.5
2016,SL_EMP_EARN,,F,,,CUR_LCU,5.4
2017,SL_EMP_EARN,,F,,,CUR_LCU,5.4
2018,SL_EMP_EARN,,F,,,CUR_LCU,6.4
2019,SL_EMP_EARN,,F,,,CUR_LCU,6.5
2015,SL_EMP_EARN,,M,,,CUR_LCU,7.4
2016,SL_EMP_EARN,,M,,,CUR_LCU,8.4
2017,SL_EMP_EARN,,M,,,CUR_LCU,9.0
2018,SL_EMP_EARN,,M,,,CUR_LCU,10.7
2019,SL_EMP_EARN,,M,,,CUR_LCU,10.1
